text,norm_text,conf,x,y,w,h,norm_x,norm_y,block,par,line
7,7,43.0,10,167,11,15,0.0045,0.1193,1,1,1
Ç,C,66.0,142,169,21,14,0.0645,0.1207,1,1,1
sar,SAR,46.0,220,169,63,7,0.1,0.1207,1,1,1
“LIDS,LIDS,22.0,389,169,79,20,0.1768,0.1207,1,1,1
|,,67.0,1147,160,3,11,0.5214,0.1143,1,1,1
40.659000.€10Z7/991.€L9,40 659000 10Z7 991 L9,30.0,1272,164,483,25,0.5782,0.1171,1,1,1
ISNSNH,ISNSNH,64.0,1861,162,159,26,0.8459,0.1157,1,1,1
~,,83.0,2037,167,8,4,0.9259,0.1193,1,1,1
DAYN,DAYN,0.0,2064,163,136,24,0.9382,0.1164,1,1,1
|,,80.0,2182,157,17,39,0.9918,0.1121,1,1,1
EZFS,EZFS,16.0,2,167,158,33,0.0009,0.1193,1,1,2
<N,N,31.0,216,168,62,32,0.0982,0.12,1,1,2
DAR,DAR,29.0,296,170,74,46,0.1345,0.1214,1,1,2
e,E,28.0,400,200,67,16,0.1818,0.1429,1,1,2
—,,27.0,887,193,79,28,0.4032,0.1379,1,1,2
ON,ON,85.0,1475,179,57,36,0.6705,0.1279,1,1,2
AVNO,AVNO,88.0,1552,199,76,16,0.7055,0.1421,1,1,2
dpi,DPI,65.0,1658,197,49,21,0.7536,0.1407,1,1,2
O),O,63.0,1726,195,50,16,0.7845,0.1393,1,1,2
IOVIAY,IOVIAY,36.0,1935,192,123,16,0.8795,0.1371,1,1,2
WINVT,WINVT,46.0,2071,192,123,19,0.9414,0.1371,1,1,2
i,I,55.0,1094,244,2,3,0.4973,0.1743,1,1,3
ewes,EWES,8.0,1182,254,70,12,0.5373,0.1814,1,1,3
£0°O,0 O,85.0,1276,248,77,21,0.58,0.1771,1,1,3
IN,IN,86.0,2071,249,47,22,0.9414,0.1779,1,1,3
F:,F,74.0,2188,252,12,21,0.9945,0.18,1,1,3
4,4,23.0,124,257,63,24,0.0564,0.1836,1,2,1
Le],LE,0.0,205,253,81,64,0.0932,0.1807,1,2,1
VZINTW,VZINTW,35.0,543,273,102,18,0.2468,0.195,1,2,1
HOES,HOES,75.0,660,272,83,20,0.3,0.1943,1,2,1
NVAWIAVNO,NVAWIAVNO,57.0,756,270,218,18,0.3436,0.1929,1,2,1
Be),BE,44.0,1023,274,32,17,0.465,0.1957,1,2,1
GOMEOYDİNYEO,GOMEOYDINYEO,0.0,1167,256,291,43,0.5305,0.1829,1,2,1
Yrm,YRM,1.0,1472,277,84,16,0.6691,0.1979,1,2,1
ov,OV,1.0,1582,276,42,19,0.7191,0.1971,1,2,1
5a0,5A0,0.0,1643,271,70,19,0.7468,0.1936,1,2,1
©),,67.0,1725,270,49,18,0.7841,0.1929,1,2,1
İNİŞ,INIS,15.0,2053,250,137,44,0.9332,0.1786,1,2,1
=,,57.0,195,319,51,24,0.0886,0.2279,1,2,2
uy,UY,71.0,1182,342,30,12,0.5373,0.2443,1,2,2
©,,34.0,1242,322,15,21,0.5645,0.23,1,2,2
S,S,71.0,1271,320,20,22,0.5777,0.2286,1,2,2
>,,63.0,1811,336,47,12,0.8232,0.24,1,2,2
0909,0909,73.0,1439,355,102,17,0.6541,0.2536,1,2,3
HOLOW,HOLOW,86.0,1555,354,133,16,0.7068,0.2529,1,2,3
(780),780,63.0,1704,353,68,16,0.7745,0.2521,1,2,3
HAOVH,HAOVH,48.0,1969,351,123,16,0.895,0.2507,1,2,3
YEGEN),YEGEN,20.0,2107,351,93,23,0.9577,0.2507,1,2,3
.,,45.0,170,395,14,10,0.0773,0.2821,1,2,4
hand,HAND,48.0,249,377,33,36,0.1132,0.2693,1,2,4
—,,75.0,1242,404,38,5,0.5645,0.2886,1,2,4
=],,84.0,0,387,60,72,0.0,0.2764,1,2,5
=>,,0.0,114,391,65,70,0.0518,0.2793,1,2,5
fe],FE,0.0,195,391,89,70,0.0886,0.2793,1,2,5
ISIAVS,ISIAVS,90.0,1287,432,111,17,0.585,0.3086,1,2,5
NQIOA,NQIOA,14.0,1423,431,111,16,0.6468,0.3079,1,2,5
VLMVAY,VLMVAY,58.0,1547,431,141,15,0.7032,0.3079,1,2,5
(ZS),ZS,28.0,1700,430,69,16,0.7727,0.3071,1,2,5
|,,28.0,1776,417,14,40,0.8073,0.2979,1,2,5
aryeaans),ARYEAANS,0.0,1800,429,170,16,0.8182,0.3064,1,2,5
ISTAVS,ISTAVS,33.0,1985,429,112,16,0.9023,0.3064,1,2,5
Mor,MOR,42.0,2111,429,89,17,0.9595,0.3064,1,2,5
9ZOZ-ZL-LE,9ZOZ ZL LE,73.0,611,464,210,21,0.2777,0.3314,1,2,6
=u,U,0.0,837,465,44,20,0.3805,0.3321,1,2,6
SeB-enw,SEB ENW,0.0,883,459,177,25,0.4014,0.3279,1,2,6
WE,WE,53.0,1097,486,2,3,0.4986,0.3471,1,2,6
o,O,42.0,1239,474,20,20,0.5632,0.3386,1,2,6
o,O,77.0,1340,474,21,20,0.6091,0.3386,1,2,6
EDEMEDİ,EDEMEDI,0.0,1596,485,169,20,0.7255,0.3464,1,2,6
a,A,23.0,1815,482,37,15,0.825,0.3443,1,2,6
J,J,64.0,2190,487,10,4,0.9955,0.3479,1,2,6
KENE,KENE,42.0,0,496,64,22,0.0,0.3543,1,2,7
UYAN,UYAN,27.0,86,498,134,22,0.0391,0.3557,1,2,7
