latest_line,matched_line,matched_image,score,reasons,status
2,3,dataset/photo/213227.jpg,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
3,5,dataset/photo/87299063_3340942985935065_1834807748223565824_n.jpg,323,plate+chassis+engine+reg_date+first_reg_date+model_year,applied
4,2,dataset/photo/132020380_1753782264797081_6362873494041143451_n.jpg,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
5,4,dataset/photo/555836083_24672058915768589_252055332851890785_n.jpg,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
6,6,dataset/photo/arora-motor-motor-beyin-hak-1_768x768.jpg,103,engine+reg_date+first_reg_date+model_year,applied
7,52,dataset/photo/Ekran görüntüsü 2026-03-04 115605.png,100,plate_near+brand+reg_date+first_reg_date+model_year,applied
8,8,dataset/photo/Ekran görüntüsü 2026-03-04 112525.png,235,plate+engine+brand+reg_date+first_reg_date+model_year,applied
9,9,dataset/photo/Ekran görüntüsü 2026-03-04 112723.png,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
10,10,dataset/photo/Ekran görüntüsü 2026-03-04 112817.png,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
11,11,dataset/photo/Ekran görüntüsü 2026-03-04 112840.png,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
12,12,dataset/photo/Ekran görüntüsü 2026-03-04 112913.png,325,plate+chassis+engine+brand+first_reg_date+model_year,applied
13,21,dataset/photo/Ekran görüntüsü 2026-03-04 113259.png,235,plate+engine+brand+reg_date+first_reg_date+model_year,applied
14,14,dataset/photo/Ekran görüntüsü 2026-03-04 113005.png,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
15,15,dataset/photo/Ekran görüntüsü 2026-03-04 113030.png,135,chassis+brand+reg_date+first_reg_date+model_year,applied
16,16,dataset/photo/Ekran görüntüsü 2026-03-04 113101.png,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
17,17,dataset/photo/Ekran görüntüsü 2026-03-04 113120.png,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
18,18,dataset/photo/Ekran görüntüsü 2026-03-04 113148.png,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
